Time,Velocity,Projectile,Angle,Laminate,Residual Velcity
0.000200012,500,Round,30,PF,310.1975098
0.000240005,500,Round,30,PF,307.9833679
0.000280008,500,Round,30,PF,305.5529175
0.000320016,500,Round,30,PF,304.5192871
0.000360013,500,Round,30,PF,298.1130981
0.000400008,500,Round,30,PF,297.7158508
0.000440018,500,Round,30,PF,297.6776428
0.00048001,500,Round,30,PF,297.6748657
0.000520002,500,Round,30,PF,297.6846619
0.000560007,500,Round,30,PF,297.6959534
0.000600004,500,Round,30,PF,297.7225037
0.000640016,500,Round,30,PF,297.7588196
0.000680009,500,Round,30,PF,297.8111267
0.000720002,500,Round,30,PF,297.8688965
0.000760016,500,Round,30,PF,297.9348755
0.0008,500,Round,30,PF,298.0129395
0,550,Round,30,PF,550
0.00004,550,Round,30,PF,393.9542542
0.00008,550,Round,30,PF,357.7582092
0.000120009,550,Round,30,PF,356.1706543
0.000160002,550,Round,30,PF,355.4552002
0.000200003,550,Round,30,PF,353.9450989
0.000240009,550,Round,30,PF,352.9815369
0.000280007,550,Round,30,PF,352.1388245
0.000320002,550,Round,30,PF,350.5773315
0.000360012,550,Round,30,PF,344.4570618
0.000400001,550,Round,30,PF,344.7268066
0.00044001,550,Round,30,PF,345.1439819
0.000480012,550,Round,30,PF,345.3261719
0.000520002,550,Round,30,PF,345.4248657
0.000560003,550,Round,30,PF,345.4085693
0.000600008,550,Round,30,PF,345.5355835
0.000640011,550,Round,30,PF,345.6912842
0.00068001,550,Round,30,PF,345.8759155
0.000720003,550,Round,30,PF,346.0475464
0.000760007,550,Round,30,PF,346.1947021
0.0008,550,Round,30,PF,346.3713989
0,750,Round,30,PF,750
0.00002,750,Round,30,PF,626.6821899
0.00004,750,Round,30,PF,533.6577148
0.00006,750,Round,30,PF,518.0719604
0.00008,750,Round,30,PF,517.4348755
0.0001,750,Round,30,PF,517.4263306
0.00012,750,Round,30,PF,517.4230347
0.00014,750,Round,30,PF,517.3381958
0.000160001,750,Round,30,PF,516.6918945
0.000180001,750,Round,30,PF,516.5164185
0.000200001,750,Round,30,PF,515.8075562
0.000220001,750,Round,30,PF,514.2859497
0.00024,750,Round,30,PF,513.2481079
0.00026,750,Round,30,PF,512.4922485
0.00028,750,Round,30,PF,511.7142029
0.000300001,750,Round,30,PF,511.2637939
0.00032,750,Round,30,PF,511.2401428
0.00034,750,Round,30,PF,511.2317505
0.000360001,750,Round,30,PF,511.2295837
0.00038,750,Round,30,PF,511.2277527
0.0004,750,Round,30,PF,511.1852722
0,250,Round,45,PF,250
0.00007,250,Round,45,PF,177.9332428
0.000140015,250,Round,45,PF,92.22061157
0.000210021,250,Round,45,PF,49.18592453
0.000280006,250,Round,45,PF,13.62199211
0.000350013,250,Round,45,PF,8.119318962
0.000420009,250,Round,45,PF,8.57037735
0.000490001,250,Round,45,PF,9.093935966
0.000560016,250,Round,45,PF,9.366958618
0.000630006,250,Round,45,PF,9.346014023
0.000700008,250,Round,45,PF,9.805425644
0.000770014,250,Round,45,PF,10.34465313
0.000840024,250,Round,45,PF,10.83944702
0.00091002,250,Round,45,PF,11.3741951
0.000980008,250,Round,45,PF,11.52775955
0.001050015,250,Round,45,PF,10.82339191
0.00112001,250,Round,45,PF,7.074532986
0.001190004,250,Round,45,PF,-4.587397575
0.001260021,250,Round,45,PF,-22.01595497
0.001330003,250,Round,45,PF,-24.0532608
0.0014,250,Round,45,PF,-26.00786209
0,300,Round,45,PF,300
0.00007,300,Round,45,PF,204.644455
0.000140023,300,Round,45,PF,131.3489685
0.000210023,300,Round,45,PF,72.52515411
0.000280003,300,Round,45,PF,24.03484154
0.000350016,300,Round,45,PF,16.44565773
0.000420024,300,Round,45,PF,17.30226517
0.000490021,300,Round,45,PF,17.93303299
0.000560017,300,Round,45,PF,18.45591545
0.000630013,300,Round,45,PF,18.6968174
0.000700014,300,Round,45,PF,18.87420273
0.000770011,300,Round,45,PF,13.47406197
0.000840013,300,Round,45,PF,12.34236717
0.000910012,300,Round,45,PF,11.21894741
0.000980016,300,Round,45,PF,9.685166359
0.001050006,300,Round,45,PF,7.789567471
0.001120003,300,Round,45,PF,6.830582619
0.001190002,300,Round,45,PF,6.123462677
0.001260012,300,Round,45,PF,-7.232452393
0.001330022,300,Round,45,PF,-18.78874207
0.0014,300,Round,45,PF,-25.46090698
0,350,Round,45,PF,350
0.00007,350,Round,45,PF,232.1625671
0.000140001,350,Round,45,PF,163.4898682
0.000210013,350,Round,45,PF,116.1631927
0.000280009,350,Round,45,PF,87.83368683
0.00035,350,Round,45,PF,80.19706726
0.000420019,350,Round,45,PF,80.14332581
0.000490019,350,Round,45,PF,79.26399994
0.00056001,350,Round,45,PF,76.15332031
0.000630022,350,Round,45,PF,71.56594086
0.000700023,350,Round,45,PF,66.00187683
0.000770022,350,Round,45,PF,61.95336533
0.000840013,350,Round,45,PF,58.31862259
0.000910018,350,Round,45,PF,56.21562195
0.000980021,350,Round,45,PF,55.60319138
0.001050013,350,Round,45,PF,55.59783936
0.001120008,350,Round,45,PF,55.59779358
0.001190021,350,Round,45,PF,55.59774017
0.001260015,350,Round,45,PF,55.59770584
0.001330006,350,Round,45,PF,55.59766006
0.0014,350,Round,45,PF,55.59739304
0,400,Round,45,PF,400
0.00007,400,Round,45,PF,261.5832214
0.000140008,400,Round,45,PF,209.2929382
0.000210025,400,Round,45,PF,193.7388306
0.000280001,400,Round,45,PF,190.4938812
0.000350023,400,Round,45,PF,187.2817078
0.000420005,400,Round,45,PF,184.6140137
0.000490021,400,Round,45,PF,182.9546509
0.000560024,400,Round,45,PF,179.031662
0.000630001,400,Round,45,PF,174.6392059
0.000700006,400,Round,45,PF,174.6280365
0.000770006,400,Round,45,PF,174.086319
0.000840009,400,Round,45,PF,174.0847321
0.000910006,400,Round,45,PF,174.0849762
0.000980017,400,Round,45,PF,174.0848389
0.001050006,400,Round,45,PF,174.0844421
0.00112001,400,Round,45,PF,174.0842285
0.001190012,400,Round,45,PF,174.0844574
0.001260022,400,Round,45,PF,174.0844574
0.00133,400,Round,45,PF,174.0838318
0.0014,400,Round,45,PF,174.084137
0,450,Round,45,PF,450
0.00007,450,Round,45,PF,294.900238
0.000140018,450,Round,45,PF,261.3941345
0.000210018,450,Round,45,PF,257.2787476
0.000280007,450,Round,45,PF,253.4053955
0.000350017,450,Round,45,PF,250.1164093
0.000420018,450,Round,45,PF,245.0802612
0.000490014,450,Round,45,PF,239.8841858
0.000560012,450,Round,45,PF,239.8394318
0.000630007,450,Round,45,PF,239.8390656
0.000700021,450,Round,45,PF,239.8395386
0.000770025,450,Round,45,PF,239.8386383
